Date,Text
7/22/19 23:22,b'@BriansMindHouse @RyanHillMI @realDonaldTrump Oh and the full page ad calling for the death penalty of 5 teenagers of color.'
,
7/22/19 23:22,b'@realDonaldTrump Because you haven\xe2\x80\x99t.'
,
7/22/19 23:22,"b'@realDonaldTrump Sir, you don\xe2\x80\x99t have to quantify anything to anyone. We know all that you have and our doing for Al\xe2\x80\xa6 https://t.co/93hy6S2k62'"
,
7/22/19 23:22,b'@LilleyDennese @SteveScalise @realDonaldTrump He is more concerned as are millions of us that they will destroy thi\xe2\x80\xa6 https://t.co/P9Abx3tir4'
,
7/22/19 23:22,"b'Tonight may be the night when @realDonaldTrump tells us all he knows about #QAnon #askthequestion \nAre you Q, Mr. President?'"
,
7/22/19 23:22,b'@joeflex73 @realDonaldTrump Germany is always a mess politically and financially. Also another place that owes the\xe2\x80\xa6 https://t.co/oOXO25mK1d'
,
7/22/19 23:22,"b'Trump: I could wipe Afghanistan off the Earth if I wanted to\nhttps://t.co/rxcvx3Z2SC @realdonaldtrump \nMan, fuck yo\xe2\x80\xa6 https://t.co/9XVC1SUTBM'"
,
7/22/19 23:22,b'@realDonaldTrump Have you stopped caging children and given back the newborns to their mothers yet? Stop being crue\xe2\x80\xa6 https://t.co/Ko2jbvK62i'
,
7/22/19 23:22,b'@kristirice47 @realDonaldTrump We\xe2\x80\x99re just asking for too much these days it seems'
,
7/22/19 23:22,"b'@realDonaldTrump Fact:  zero miles of new wall have been built, despite your repeated claims!'"
,
7/22/19 23:22,"b'@pearl_of_truth @USAPatriotRadio @JmkWalnut @BlueJayBirdo @presDonldSkroob @ArthurSchwartz @realDonaldTrump Ok, wha\xe2\x80\xa6 https://t.co/KYM6y7njsv'"
,
7/22/19 23:22,"b'Nice replacement fence you are building, dumbass. @realDonaldTrump https://t.co/j5ukO3vMDk'"
,
7/22/19 23:22,"b""@4NuNuSummer03 @realDonaldTrump Came and went. There's no collusion. #getoverit"""
,
7/22/19 23:22,b'@realDonaldTrump Finish the Wall President Trump!!!'
,
7/22/19 23:22,b'@realDonaldTrump What needs to be done is to restructure how agency budgets are managed. It\xe2\x80\x99s near August and agenc\xe2\x80\xa6 https://t.co/PRGVnlxDpP'
,
7/22/19 23:22,b'@TalbertSwan @realDonaldTrump You failed to mention the TransAtlantic slave trader that started selling black slave\xe2\x80\xa6 https://t.co/D879WMG7KL'
,
7/22/19 23:22,b'@realDonaldTrump Unbelievable'
,
7/22/19 23:22,"b""@realDonaldTrump Donald - YOU'RE racist!\nSeriously, it really is too much to ask that you just stop tweeting lies a\xe2\x80\xa6 https://t.co/bwuvzpFzOP"""
,
7/22/19 23:22,b'@dredster747 @shrikeworship @bldingoodhealth @donaldhale57 @PupMom76 @motherlode2016 @littledeekay @realDonaldTrump\xe2\x80\xa6 https://t.co/bNROKiL7Fg'
,
7/22/19 23:22,b'@RichardsBryce @TalbertSwan @realDonaldTrump Because is has nothing to do with why he was elected and will be reele\xe2\x80\xa6 https://t.co/zimoUuLWAd'
,
7/22/19 23:22,b'@realDonaldTrump Congratulations! Your work is done. Resign.'
,
7/22/19 23:22,"b'@realDonaldTrump Fake News?   Don, you\xe2\x80\x99ve lied 11,000 times in 2 1/2 years.   Who knows the truth?'"
,
7/22/19 23:22,b'@TalbertSwan @realDonaldTrump Um...he was here working for a Spaniard.  A white man.'
,
7/22/19 23:22,"b'@realDonaldTrump So,now U want to put kids at Ft.Sill OK. This is where we housed Natives after ""Trail of Tears"" an\xe2\x80\xa6 https://t.co/zkvLoIYjwp'"
,
7/22/19 23:22,"b""@realDonaldTrump THAT'S WHAT SHE SAID"""
,
7/22/19 23:22,b'@realDonaldTrump Only because you Donnie boy was not involved in the negotiations'
,
7/22/19 23:22,b'@realDonaldTrump The Fakes News earns the title #EnemyOfThePeople each and every day!'
,
7/22/19 23:22,b'@realDonaldTrump ONCE AGAIN TRUMP HAS LIED TO THE AMERICAN PEOPLE INCLUDING HIS SUPPORTERS AND IF YOU THINK ITS OK\xe2\x80\xa6 https://t.co/LUoVWO8Y3t'
,
7/22/19 23:22,b'@realDonaldTrump No more trump!! #DumpTrump2020 #coverup #highcrimes #prison'
,
7/22/19 23:22,"b'@realDonaldTrump Chant ""vote her out""  ""vote them out""'"
,
7/22/19 23:22,b'@GeneMarshalll @AOC @realDonaldTrump Those meager tax cuts sunset soon.\nInflation has been on the floor for a coupl\xe2\x80\xa6 https://t.co/PVjdU0ekCX'
,
7/22/19 23:22,b'@realDonaldTrump More Fox and Felons?'
,
7/22/19 23:22,b'@realDonaldTrump You should be scared!  #MullerReport #mulleriscoming'
,
7/22/19 23:22,"b'@realDonaldTrump 90 Pounds of Cocaine discovered on a boat owned by the family of Mitch McConnell, the Majority Leader of the U.S. Senate'"
,
7/22/19 23:22,"b""@DoveCameron @realDonaldTrump Other than this, where's the evidence?"""
,
7/22/19 23:22,b'@cmlucas03 @tonyposnanski @realDonaldTrump Go find your peace from Jesus and stop replying. Lmao'
,
7/22/19 23:22,b'Imagine how sad and pathetic it must be to be @realDonaldTrump and be a racist who can\xe2\x80\x99t even be proud enough of hi\xe2\x80\xa6 https://t.co/akKbAeiDqB'
,
7/22/19 23:22,"b""@Von_Clown @LuckeyRon @LE_StPaul @PhillipLiberal @realDonaldTrump Today's right is far left of your dad's left."""
,
7/22/19 23:22,b'@realDonaldTrump I see that you take care of the vets but what are you going to do for the people on social securit\xe2\x80\xa6 https://t.co/qW4PKm1ell'
,
7/22/19 23:22,b'@realDonaldTrump Is this that wall? https://t.co/W7y95s9Zuz'
,
7/22/19 23:22,b'Because @realDonaldTrump is a true humanitarian? https://t.co/ItCfqsyR2M'
,
7/22/19 23:22,b'@cheryl_schantz @TheJuanWilliams @realDonaldTrump @thehill Why don\xe2\x80\x99t you DM anymore'
,
7/22/19 23:22,b'@realDonaldTrump Y block everything if ur so innocent?'
,
7/22/19 23:22,b'@amarakhbaranth1 @realDonaldTrump Looks more like @SpeakerPelosi and the #JihadSquad'
,
7/22/19 23:22,"b'@realDonaldTrump I think your twitter account got hacked, Sir. I know a POTUS would never tweet something so deplor\xe2\x80\xa6 https://t.co/rIWcN5wERh'"
,
7/22/19 23:22,b'@RNCastaldo @realDonaldTrump Speak for ur self'
,
7/22/19 23:22,b'@ChrisJZullo @realDonaldTrump Well put!'
,
7/22/19 23:22,b'@JasonArchie2 @realDonaldTrump Your stupidity is exhausting. Whoever gets caught up in Epstein\xe2\x80\x99s case deserves it.\xe2\x80\xa6 https://t.co/stwEW1Ue1B'
,
7/22/19 23:22,b'When a conservative outlet calls out @POTUS @realDonaldTrump for his lies... https://t.co/I0LPZjU9MW'
,
7/22/19 23:22,"b'@GOPChairwoman @realDonaldTrump Ummmmm, excuse me, I have read the report and clearly you have not. And that is an\xe2\x80\xa6 https://t.co/a4UGPKQC3z'"
,
7/22/19 23:22,"b""@realDonaldTrump Let's just print more money!\n\n\xf0\x9f\x92\xb0\xf0\x9f\x92\xb2\xf0\x9f\x8f\xa7 https://t.co/4g3rjU8MRJ"""
,
